Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
audifonos-inalambricos-tws,Audífonos inalámbricos / TWS,"<p><strong>Audífonos inalámbricos / TWS</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""vladimir padrino lópez""</em> (potencial de demanda 85/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"vladimir padrino lópez, Tecnología y gadgets, tendencia, coleccion:vladimir-padrino-lopez",FALSE,Title,Default Title,VLADIMIR-39998,shopify,100,deny,manual,165900.00,264900.00,TRUE,TRUE,,,Audífonos inalámbricos / TWS,Audífonos inalámbricos / TWS | Vladimir padrino lópez,Compra Audífonos inalámbricos / TWS en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~500+).,draft
smartwatch-economico,Smartwatch económico,"<p><strong>Smartwatch económico</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""vladimir padrino lópez""</em> (potencial de demanda 85/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"vladimir padrino lópez, Tecnología y gadgets, tendencia, coleccion:vladimir-padrino-lopez",FALSE,Title,Default Title,VLADIMIR-85215,shopify,100,deny,manual,203900.00,325900.00,TRUE,TRUE,,,Smartwatch económico,Smartwatch económico | Vladimir padrino lópez,Compra Smartwatch económico en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~500+).,draft
cargadores-y-power-banks,Cargadores y power banks,"<p><strong>Cargadores y power banks</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""vladimir padrino lópez""</em> (potencial de demanda 85/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"vladimir padrino lópez, Tecnología y gadgets, tendencia, coleccion:vladimir-padrino-lopez",FALSE,Title,Default Title,VLADIMIR-94019,shopify,100,deny,manual,70900.00,112900.00,TRUE,TRUE,,,Cargadores y power banks,Cargadores y power banks | Vladimir padrino lópez,Compra Cargadores y power banks en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~500+).,draft
soportes-y-accesorios-para-celular,Soportes y accesorios para celular,"<p><strong>Soportes y accesorios para celular</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""vladimir padrino lópez""</em> (potencial de demanda 85/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"vladimir padrino lópez, Tecnología y gadgets, tendencia, coleccion:vladimir-padrino-lopez",FALSE,Title,Default Title,VLADIMIR-86512,shopify,100,deny,manual,94900.00,151900.00,TRUE,TRUE,,,Soportes y accesorios para celular,Soportes y accesorios para celular | Vladimir padrino lópez,Compra Soportes y accesorios para celular en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~500+).,draft
mini-proyectores-y-parlantes-bluetooth,Mini proyectores y parlantes bluetooth,"<p><strong>Mini proyectores y parlantes bluetooth</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""vladimir padrino lópez""</em> (potencial de demanda 85/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"vladimir padrino lópez, Tecnología y gadgets, tendencia, coleccion:vladimir-padrino-lopez",FALSE,Title,Default Title,VLADIMIR-05542,shopify,100,deny,manual,203900.00,325900.00,TRUE,TRUE,,,Mini proyectores y parlantes bluetooth,Mini proyectores y parlantes bluetooth | Vladimir padrino lópez,Compra Mini proyectores y parlantes bluetooth en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~500+).,draft
audifonos-inalambricos-tws,Audífonos inalámbricos / TWS,"<p><strong>Audífonos inalámbricos / TWS</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""noticias caracol""</em> (potencial de demanda 85/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"noticias caracol, Tecnología y gadgets, tendencia, coleccion:noticias-caracol",FALSE,Title,Default Title,NOTICIAS-39998,shopify,100,deny,manual,237900.00,380900.00,TRUE,TRUE,,,Audífonos inalámbricos / TWS,Audífonos inalámbricos / TWS | Noticias caracol,Compra Audífonos inalámbricos / TWS en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~200+).,draft
smartwatch-economico,Smartwatch económico,"<p><strong>Smartwatch económico</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""noticias caracol""</em> (potencial de demanda 85/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"noticias caracol, Tecnología y gadgets, tendencia, coleccion:noticias-caracol",FALSE,Title,Default Title,NOTICIAS-85215,shopify,100,deny,manual,153900.00,245900.00,TRUE,TRUE,,,Smartwatch económico,Smartwatch económico | Noticias caracol,Compra Smartwatch económico en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~200+).,draft
cargadores-y-power-banks,Cargadores y power banks,"<p><strong>Cargadores y power banks</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""noticias caracol""</em> (potencial de demanda 85/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"noticias caracol, Tecnología y gadgets, tendencia, coleccion:noticias-caracol",FALSE,Title,Default Title,NOTICIAS-94019,shopify,100,deny,manual,223900.00,357900.00,TRUE,TRUE,,,Cargadores y power banks,Cargadores y power banks | Noticias caracol,Compra Cargadores y power banks en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~200+).,draft
soportes-y-accesorios-para-celular,Soportes y accesorios para celular,"<p><strong>Soportes y accesorios para celular</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""noticias caracol""</em> (potencial de demanda 85/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"noticias caracol, Tecnología y gadgets, tendencia, coleccion:noticias-caracol",FALSE,Title,Default Title,NOTICIAS-86512,shopify,100,deny,manual,186900.00,298900.00,TRUE,TRUE,,,Soportes y accesorios para celular,Soportes y accesorios para celular | Noticias caracol,Compra Soportes y accesorios para celular en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~200+).,draft
mini-proyectores-y-parlantes-bluetooth,Mini proyectores y parlantes bluetooth,"<p><strong>Mini proyectores y parlantes bluetooth</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""noticias caracol""</em> (potencial de demanda 85/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"noticias caracol, Tecnología y gadgets, tendencia, coleccion:noticias-caracol",FALSE,Title,Default Title,NOTICIAS-05542,shopify,100,deny,manual,237900.00,380900.00,TRUE,TRUE,,,Mini proyectores y parlantes bluetooth,Mini proyectores y parlantes bluetooth | Noticias caracol,Compra Mini proyectores y parlantes bluetooth en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~200+).,draft
decoracion-tematica-de-temporada,Decoración temática de temporada,"<p><strong>Decoración temática de temporada</strong> es uno de los productos más buscados en la categoría de estacional y eventos en este momento.</p><p>Aprovecha la tendencia de <em>""dinero""</em> (potencial de demanda 75/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Estacional y eventos,Estacional y eventos,"dinero, Estacional y eventos, tendencia, coleccion:dinero",FALSE,Title,Default Title,DINERO-65712,shopify,100,deny,manual,30900.00,48900.00,TRUE,TRUE,,,Decoración temática de temporada,Decoración temática de temporada | Dinero,Compra Decoración temática de temporada en tendencia. Categoría 'Estacional y eventos' con buena traducción a producto físico y demanda visible (tráfico ~1000+).,draft
disfraces-y-accesorios,Disfraces y accesorios,"<p><strong>Disfraces y accesorios</strong> es uno de los productos más buscados en la categoría de estacional y eventos en este momento.</p><p>Aprovecha la tendencia de <em>""dinero""</em> (potencial de demanda 75/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Estacional y eventos,Estacional y eventos,"dinero, Estacional y eventos, tendencia, coleccion:dinero",FALSE,Title,Default Title,DINERO-71605,shopify,100,deny,manual,42900.00,68900.00,TRUE,TRUE,,,Disfraces y accesorios,Disfraces y accesorios | Dinero,Compra Disfraces y accesorios en tendencia. Categoría 'Estacional y eventos' con buena traducción a producto físico y demanda visible (tráfico ~1000+).,draft
sets-de-regalo,Sets de regalo,"<p><strong>Sets de regalo</strong> es uno de los productos más buscados en la categoría de estacional y eventos en este momento.</p><p>Aprovecha la tendencia de <em>""dinero""</em> (potencial de demanda 75/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Estacional y eventos,Estacional y eventos,"dinero, Estacional y eventos, tendencia, coleccion:dinero",FALSE,Title,Default Title,DINERO-68505,shopify,100,deny,manual,55900.00,88900.00,TRUE,TRUE,,,Sets de regalo,Sets de regalo | Dinero,Compra Sets de regalo en tendencia. Categoría 'Estacional y eventos' con buena traducción a producto físico y demanda visible (tráfico ~1000+).,draft
luces-y-adornos-led,Luces y adornos LED,"<p><strong>Luces y adornos LED</strong> es uno de los productos más buscados en la categoría de estacional y eventos en este momento.</p><p>Aprovecha la tendencia de <em>""dinero""</em> (potencial de demanda 75/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Estacional y eventos,Estacional y eventos,"dinero, Estacional y eventos, tendencia, coleccion:dinero",FALSE,Title,Default Title,DINERO-46765,shopify,100,deny,manual,96900.00,154900.00,TRUE,TRUE,,,Luces y adornos LED,Luces y adornos LED | Dinero,Compra Luces y adornos LED en tendencia. Categoría 'Estacional y eventos' con buena traducción a producto físico y demanda visible (tráfico ~1000+).,draft
empaques-y-detalles-personalizados,Empaques y detalles personalizados,"<p><strong>Empaques y detalles personalizados</strong> es uno de los productos más buscados en la categoría de estacional y eventos en este momento.</p><p>Aprovecha la tendencia de <em>""dinero""</em> (potencial de demanda 75/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Estacional y eventos,Estacional y eventos,"dinero, Estacional y eventos, tendencia, coleccion:dinero",FALSE,Title,Default Title,DINERO-59297,shopify,100,deny,manual,67900.00,108900.00,TRUE,TRUE,,,Empaques y detalles personalizados,Empaques y detalles personalizados | Dinero,Compra Empaques y detalles personalizados en tendencia. Categoría 'Estacional y eventos' con buena traducción a producto físico y demanda visible (tráfico ~1000+).,draft
